,Authors,Title,Cities,Publisher,Years,Fund,Segni
1597,"Mantegazza, Vico"," Patavinihistoriam. s.l., s.n",,s.d.,1965,BAL ,nan
1598,"Mantovani, Tancredi", La storia di Roma dalle sue origini: libro XXII,Roma,Albrighi,1950,BAL ,nan
1599,Manuale introduttivo alla,"LocatelliMilesi, Sereno Bergamo vecchia e nuova",Roma,Orobiche,1917,BTB Segn. 828-829 ,nan
1600,"Manucci, Aldo","Essai philosophique concernant l’entendement humain, où l’on montre quelle est l’entendue de non connossainces certaines, & la maniere dont nous y parvenons","Torino, Einaudi",aux dépens de la Compagnie,1254,BTB Segn. 1865 ,nan
1601,"Manzini, Gianna", Saggio sull’intelletto umano,"Milano, Le nuove edizioni d’Italia",Vallecchi,1924,BTB Segn. 1864 ,nan
1602,Ead.,"Una malattia del maresciallo Radetzky. Roma, Arti grafiche E","Milano, Le Nuove Edizioni d’Italia",Arti grafiche E. Cossidente,1923,BTB Segn. 1866 ,nan
1603,Ead.,Le origini del cristianesimo,Milano,Einaudi,1962,BTB Segn. 491 ,Prima bozza impaginata. Postille.
1604,Ead.,Lombardia. Parte I. GallavresiF.ChiesaC,"MilanoNapoli,              Ricciardi",,1931,BAL ,nan
1605,Ead.,"Lombrassa, Domenico – Vecchietti, Giorgio Davide. Antologia italiana per le scuole di avviamento professionale","Firenze, Sansoni",Le Monnier,1930,BTB Segn. 1429 ,Dedica dell’autore in data 20.11.1946.
1606,Ead.," Lombroso, Giacomo – Besana, Davide Storia di dodici anni narrata al popolo italiano, Milano",Paris,Fravega,1965,BTB Segn. 1036 ,Dedica del traduttore in data 10.1945.         Postille del traduttore.
1607,Ead.,"Caravaggio. s.l., s.n., s.d","Roma, Formìggini",s.d.  BAL,1929,BTB Segn. 1037 ,Dedica del traduttore in data 11.1951. Postille.
1608,Ead., Officina ferrarese,"Halle, Niemeyer",Le Edizioni d’Italia,1913,BTB Segn. 1035 ,Nota di possesso autografa in data 18.09.1919 Milano.
1609,"Manzoni, Alessandro", Piero della Francesca,Milano,Hoepli,1925,BTB Segn. 1038 ,nan
1610,"Manzoni, Alessandro",Gli amori pastorali di Dafni e Cloe,"Milano, Club del Libro",Rizzoli,1939,BTB Segn. 1743 ,nan
1611,"Manzoni, Alessandro","Lorand, Sandor – Balint, Michael  Perversioni sessuali. Psicodinamica e terapia",Milano,Feltrinelli,1920,BTB Segn. 492 ,nan
1612,"Manzoni, Alessandro",L’anello di re Salomone. Traduzione di L. Schwarz,Modena,Adelphi,1926,BTB Segn. 1200 ,nan
1613,"Manzoni, Alessandro",Lorenzo Lotto,Roma,edito dopo il,1934,BTB Segn. 1201 ,nan
1614,.,Il cieco e la bellona,Torino,Edizioni di Solaria,1929,BTB Segn. 1201 ,Dedica di Alberto Savini in data 28.10.1952.
1615,., Davide Ricardo,Milano,Formìggini,1928,BTB Segn. 1204 ,nan
1616,, La scuola di ballo,"Firenze, Vallecchi",Edizioni di Solaria,1934,BTB Segn. 1203 ,Dedica del curatore in data 16.7.1945.
1617,,Schelling,Milano,s.d. (ma:,1942,BTB Segn. 1205-1206 ,Parzialmente intonsi.
1618,,  Dostoievski,Milano,Bietti,1954,BTB Segn. 1207 ,Pieghe.
1619,,L’Hydre,"Napoli, Edizioni Scientifiche Italiane",Seuil,1896,BTB Segn. 494 ,Intonso.
1620,,Il contromemoriale di Sant’Elena (,"Paris, Delagrave",Il contromemoriale di Sant’Elena (,1957,BTB Segn. 493 ,Intonso.
1621,,"LucasDubreton, Jean Louis Philippe",Paris,Fayard,1967,BTB Segn. 495 ,Intonso.
1622,,Alcune precisazioni sulla “Scuola romana”,,Istituto Grafico Tiberino,1921,BTB Segn. 497 ,Parzialmente intonso.
1623,,Etica della cibernetica,(ma:,Etica della cibernetica. Dattiloscritto,1908,BTB Segn. 496 ,Intonso.
1624,,"Dialogues satyriques, philosophiques et divers, petits traités",Milano,Lefèvre,1965,BTB Segn. 1533 ,Nota di possesso autografa di Adele Gadda Lehr.
1625,,De rerum natura libri sex. Traduzione di C. Giussani,Vene zia,Mondadori,1930,BTB Segn. 831 ,nan
1626,, De rerum natura libri sex. Vol. 1: Studi lucreziani,"Firenze, Il Fiore",Loescher,1929,BTB Segn. 2058 ,nan
1627,, Ho vegliato le notti serene. Traduzione di E. Cetrangolo,Firenze,Sansoni,1941,BTB Segn. 1788 ,nan
1628,,Racine,,Formìggini,1929,BTB Segn. 2050 ,nan
1629,"s.l., s.e., s.d.",Piazza Grande. Prefazione di G. Caproni. Disegni di R. Vespignani,"Paris, NRF Gallimard",Cappelli,1949,BTB Segn. 1534 ,Nota di possesso autografa di Adele Gadda  Lehr.
1630,"s.l., s.e., s.d.","La luna nel corso. Pagine milanesi. Raccolte da L. Anceschi, G. Ferrata, C. Labò, E. Treccani",Milano,Corrente,1946,BTB Segn. 2134 ,nan
1631,"Maraini, Dacia",Nelson e la Hamilton: i loro delitti a Napoli nel,"Torino, Einaudi",Nelson e la Hamilton: i loro delitti a Napoli nel,1935,BAL ,Dedica autografa dell’autrice in data 20.10.1965.
1632,"Maranini, Lorenza",Cronache letterarie tra le due guerre,"Milano, Corbaccio",Cronache letterarie tra le due guerre,1571,BTB Segn. 498 ,Postille.
1633,"Marañon, Gregorio",Avvento notturno,"Milano, Istituto Editoriale Italiano",Vallecchi,1942,BTB Segn. 500 ,nan
1634,"Maraschini, Maria", Biografia a Ebe,"Milano, Garzanti",Vallecchi,1928,BTB Segn. 501 ,Dedica dell’autrice in data 28.3.1950.
1635,"Marchesi, Concetto", Il giusto della vita,"Milano, Mondadori",Garzanti,1957,BTB Segn. 50 ,Dedica dell’autrice in data 5.3.1940.
1636,"Marchesi, Concetto", Quaderno gotico,,Vallecchi,1970,BTB Segn. 503 ,nan
1637,"Marchi, Gian Paolo", Studio su Mallarmé,Paris,Sansoni,1949,BTB Segn. 499 ,Dedica dell’autrice in data 20.12.1936.  Postille.
1638,"Marcolongo, Roberto", Un’illusione platonica e altri saggi,Milano,Rivoluzione,1939,BTB Segn. 504 ,Dedica dell’autrice in data 11.1941.
1639,"Marcolongo, Roberto",L’orazione contro Leocrate,"Firenze, Bemporad",Segati e C.,1947,BTB Segn. 510 ,nan
1640,Marco Polo: celebrazione del,"Macaulay Trevelyan, Giorgio  Storia d’Inghilterra","Firenze, Bemporad",Garzanti,1492,BAL ,nan
1641,Marcus Aurelius Antoninus,  Il trastullo di Strapaese: canzoncine e legni incisi,"Firenze, Bemporad",Vallecchi,1941,BAL ,Timbro di possesso di Enrico Gadda.
1642,"Margueritte, Victor",Baudelaire e la poetica della malinconia,"Firenze, Bemporad",Edizioni Scientifiche Italiane,1943,BTB Segn. 509 ,Postille.
1643,"Mariani, Gaetano", Il mito di Parigi,"Firenze, Bemporad",Einaudi,1939,BTB Segn. 505 ,nan
1644,"Mariani, Valerio", I moralisti classici. Da Machiavelli a La Bruyère,"Firenze, Le Monnier",Garzanti,1920,BTB Segn. 506 ,nan
1645,"Mariani, Valerio"," Vita, avventure e morte di Don Giovanni",Roma,Laterza,1922,BTB Segn. 507 ,Intonso.
1646,Marianische Gebetbuch.,"Macé, Jean (pseud. di Jean Moreau) Histoire d’une bouchée de pain","Roma, Perrella",s.d.,1939,BAL ,nan
1647,"Marin, Biagio",La mandragola; Clizia; Belfagor. Disegni di A. Magrini,"Foligno, Campitelli",Formìggini,1942,BAL ,nan
1648,"Marinelli, Giuseppe", La Mandragola; Belfagor,Lucca,Sansoni,1933,BTB Segn. 508 ,nan
1649,"Marino, Antonio", Opere complete,,Passigli e Borghi,1932,BAL ,nan
1650,"Marino, Giambattista", Opere istoriche e politiche. Tomi terzo e quarto,Milano,nella Stamperia delle Provincie Unite,1892,BAL ,nan
1651,"Martinetti, Piero"," Il Principe. s.l., s.n","MilanoRoma, Treves",s.d.,1953,BAL ,nan
1652,"Martinetti, Piero"," Il Principe. Roma, Garroni, s.d. Timbro di possesso di Enrico Gadda","Milano, Mondadori",s.d. Timbro di possesso di Enrico Gadda.,1940,BTB Segn. 514 ,nan
1653,"Martinetti, Piero", Il Principe. Introduzione di A. Pernice,"Milano, Mondadori",Rinascimento del Libro,1941,BAL ,nan
1654,"Martinetti, Piero", Tutte le opere. Cordiè,"Milano, Mondadori",Mondadori,1942,BAC ,"Nota di C.E. Gadda «Pezzo di una copia dei “Promessi Sposi, tradotti in tedesco, trovati nei posti nemici sull’Altipiano dei Sette Comuni, estate 1916, da me C.E. Gadda nell’avanzata da Magnaboschi verso la Val D’Assa – Nota del riordino. 1933. Eguale edizione abbiamo in due esemplari (2x2voll.) nella biblioteca, da mia mamma.– C.E. Gadda»."
1655,"Martinetti, Piero",Napoléon,"Milano, Mondadori",Dunod,1942,BTB Segn. 511-512 ,nan
1656,"Martinetti, Piero",Théâtre,"Milano, Panorama",Fasquelle,1963,BTB Segn. 515 ,Dedica dell’autrice.
1657,"Martinetti, Piero",La Merope. Tragedia,"Milano, Mondadori",La Merope. Tragedia.,1958,BTB Segn. 1134 ,Pieghe.
1658,"Martinetti, Piero",Saggi di naturali esperienze fatte nell’ del Serenissimo Principe Leopoldo di Toscana e descritte dal segretario di essa,LondonNew YorkCincinnatiChicago,Colombo,1942,BTB Segn. 1135 ,Intonso.
1659,"Martinetti, Piero", Scritti di corte e di mondo,"Foligno, Stabilimento Feliciano Campitelli",Colombo,1950,BTB Segn. 1137 ,Intonso.
1660,"Martini, Arturo",Il teatro milanese,"Roma, Garroni",Einaudi,1910,BTB Segn. 516 ,nan
1661,"Martini, Ferdinando",India da zero all’infinito,"Milano, Dante Alighieri",Le nuove edizioni d’Italia,1942,BTB Segn. 121-122 ,nan
1662,"Martini, Quinto", Il monastero di Santa Caterina nel Sinai,"Milano, Casa del Manzoni",Le Nuove Edizioni d’Italia,1919,BAL ,nan
1663,"Martini, Quinto",Amerigo Vespucci,,Treves,1958,BAL ,nan
1664,"Martini, Quinto",Le frontiere della musica. Da Monteverdi a Schönberg,"Milano, Casa del Manzoni",Ricciardi,1943,BTB Segn. 2027-2028 ,Solo al volume I: nota di possesso autografa. Sottolineature e postille.
1665,"Martini, Quinto", L’idea della Chartreuse,"MilanoNapoli, Ricciardi",Sansoni,1932,BAL ,nan
1666,"Marx, Karl",La vie quotidienne au temps de Louis XIII,"London, Burns and  Oates",Hachette,1951,BAL ,nan
1667,"Marziale, Marco Valerio",Federico Schiller,Milano,Formìggini,1951,BTB Segn. 1039 ,nan
1668,"Mascheroni, Lorenzo",Leibnizens Synthese von Universal mathematik und Individual metaphysik,"Testo riscontrato con le migliori stampe e l’autografo, Milano",Niemeyer,1869,BAL ,nan
1669,"Masi, Ernesto",Introduzione a Italo Svevo,Torino,Dall’Oglio,1925,BTB Segn. 2186-2187  ,Due copie.
1670,"Mathiez, Albert", Il mito letterario d’un nuovo Decamerone e la novellistica italiana del Cinquecento,La rivoluzione francese del,Club del Libro,1952,BTB Segn. 2185 ,nan
1671,"Mathiez, Albert", La personalità e l’opera di Italo Svevo,Firenze,Mursia,1951,BAL ,Segnalibri.
1672,Il matrimonio nell’antica,Il prete oggi,Firenze,Guanda,1960,BTB Segn. 832 ,nan
1673,"Mattioli, Pietro Antonio",Viaggi in casa. Mussino,,Formìggini,1964,BTB Segn. 2250-2262 ,"Al volume II, pieghe. Al volume IV, nota di possesso autografa di Adele Gadda Lehr. Al volume VII, sottolineature e postille."
1674,"Maupassant, Guy de",L’uomo di Kiev,In appendice le correzioni del,Einaudi,1927,BTB Segn. 2038 ,nan
1675,"Maupassant, Guy de",Kaputt,"Milano, Trevisini",Garzanti,1881,BAL ,Nota di possesso di Enrico Gadda Chiantis ottobre 17.
1676,"Mauriac, Claude", Maledetti toscani,,Vallecchi,1906,BTB Segn. 1957 ,Dedica dell’autore in data 14.11.1925. Nota di possesso autografa in data 14.11.1925 Milano.
1677,"Mauro, Walter", La pelle,,Garzanti,1906,BTB Segn. 1958 ,nan
1678,"Maurois, André", Tecnica del colpo di stato,,Bompiani,1971,BTB Segn. 1869 ,Sottolineature.
1679,"Maurois, André",La poesia dialettale napoletana. Prefazione di G. Doris,"Milano, Feltrinelli",Edizioni Scientifiche Italiane,1893,BTB Segn. Op. 40 ,Dedica dell’autore in data 16.3.1928.
1680,"Maurois, André",De la recherche de la vérité. Introduzione di G. Lyon,Firenze,Delagrave,1960,BTB Segn. 1873 ,nan
1681,"Maurois, André", Œuvres. Ièresérie. Introduzione di J. Simon,"Torino, Einaudi",Fasquelle,1962,BTB Segn. 1870 ,Intonso.
1682,"Mautino, Aldo", Pensieri metafisici,Milano,Id. Pensieri metafisici.,1962,BTB Segn. 1871 ,Intonso.
1683,"Mazzini, Giuseppe","Salto mortale. Milano, Bompiani, s.d","Venezia, Neri Pozza",s.d. (ma:,1851,BTB Segn. 1875 ,nan
1684,"Mazzini, Giuseppe", Salto mortale,MessinaMilano,Bompiani,1881,BTB Segn. 1874 ,nan
1685,"Mazzini, Giuseppe",Anton Francesco Doni musico,Estratto da «Italia medioevale e Umanistica»,La Caravella,1927,BTB Segn. 517 ,Intonso.
1686,"Mazzocchi, Manlio",L’aprèsmidi d’un faune. Preceduto dalla genesi dell’«Aprèsmidi d’un faune» di C. Gujot. Traduzione di A. Parronchi,Milano,Il Fiore,1965,BTB Segn. 2272 ,Nota di possesso autografa in data 1.01.1905. Pieghe.
1687,"Mazzucchetti, Lavinia", Monologo; Improvviso; Pomeriggio d’un fauno,"Milano, Hoepli",Fussi,1969,BTB Segn. 519 ,Dedica dell’autore.
1688,"Mazzucchetti, Lavinia"," Poésies. Paris, NRFGallimard",Firenze,NRFGallimard.,1935,BTB Segn. 2212 ,nan
1689,"Medici, Lorenzo de’",La condition humaine,"Paris, Flammarion",NRF Gallimard,1721,BTB Segn. 2047 ,Nota di possesso autografa di Enrico Gadda in data 3.1917 Centocelle.
1690,"Medici, Lorenzo de’",Morte di un presidente. Traduzione di L. Grimaldi e V. Mantovani,"Firenze, Le Monnier",Mondadori,1923,BTB Segn. 2048 ,Nota di possesso autografa in data 12.1924                Milano. Postille.
1691,Il Mediterraneo pittoresco.,Nuovo commento,,Einaudi,1853,BTB Segn. 2046 ,Postille.
1692,"Medri, Gualtiero",Altezza reale,,Corbaccio,1949,BTB Segn. 2012 ,nan
1693,"Melville, Herman", I Buddenbrook. Decadenza di una famiglia,,Istituto Editoriale Italiano,1932,BTB Segn. 103 ,nan
1694,"Melville, Herman", Le confessioni di un cavaliere d’industria,"Milano, All’insegna del Pesce d’Oro",Garzanti,1923,BTB Segn. 518 ,Parzialmente intonso.
1695,"Melville, Herman", Doctor Faustus. La vita del compositore tedesco Adrian Leverkühn narrata da un amico. Introduzione di L. Mazzucchetti,,Mondadori,1938,BTB Segn. 1582 ,nan
1696,"Melville, Herman"," Mario e il mago. Una tragica esperienza di viaggio.  Firenze, Barbera, s.d. Edizione numerata di 50 esemplari",Milano,s.d. Edizione numerata di 50 esemplari.,1936,BTB Segn. 520 ,Intonso.
1697,"Meneghello, Luigi", La montagne magique,"Roma, Gar roni",Fayard,1915,BTB Segn. 1657 ,Parzialmente intonso.
1698,"Menéndez Pidal, Ramòn", La morte a Venezia; Le confessioni di un cavaliere d’industria. Milano. Introduzione             di P. Milano,"TorinoMilanoFirenzeRomaNapoliPalermo, Paravia",Treves,1821,BTB Segn. 1658-1660 ,nan
1699,"Meredith, George", Fisiologia del dolore,TorinoMilanoPadovaFirenzeRomaNapoliPalermo,Bemporad,1915,BTB Segn. Op. 6 ,nan
1700,"Merimée, Prosper",Fisiologia dell’amore,"Milano, Bertieri e Vanzetti",Bemporad,1917,BTB Segn. Ed. Cinq. 242 ,nan
1701,La Messa nella musica. Dalle, Fisiologia del piacere,Discorso ufficiale pronunciato al 3° convegno tenuto in Castellamonte il 19 settembre,Bemporad,1950,BTB Segn. 1041 ,nan
1702,"Messeri, Antonio", Igiene dell’amore,"Milano, Edizioni della «Rivista di Filosofia»",Bemporad,1968,BTB Segn. 1040 ,Parzialmente intonso.
1703,"Messina, Francesco", Un giorno a Madera,Milano,Bemporad,1943,BTB Segn. 1138 ,nan
1704,"Mestica, Enrico",L’assedio di Macallè,"Milano, Libreria Editrice Lombarda",Le Monnier,1958,BAL ,nan
1705,"Metalious, Grace",Carlo Gozzi,"Milano, Edizioni della Rivista di Filosofia",Formìggini,1938,BAL ,Due copie.
1706,"Meucci, Carlo",Manuale dell’ingegnere civile,Torino,s.d. (ma:,1905,BTB Segn. 1719 ,nan
1707,Mezzo secolo (Il progresso,"storia del cristianesimo. Vol. 1: Il Cristianesimo antico. Parte 1: I primi tre secoli. De Micco, A. Donini, ed altri","Treviso, Edizioni di TrevisoLibreria edi trice Canova",Campitelli,1946,BTB Segn. 1661 ,nan
1708,.,"Manuale tecnico per l’applicazione di caldaie Lollar, radiatori Lollar, raccordi Lollar","Milano, Treves",raccordi Lollar,1580,BTB Segn. 1744 ,nan
1709,.,Le azioni di Castruccio Castracane degli Anteminelli signore di Lucca con la genealogia della famiglia,"MilanoRoma, Avanti",Tip. Guidotti,1580,BTB Segn. 1960 ,Intonso.
1710,"Michelet, Jules",Manuel de l’ingénieur: Plan ches. 28 tavole in piego,Arezzo,Manuel de l’ingénieur: Plan ches. 28 tavole in piego.,1966,BTB Segn. 521 ,Intonso.
1711,"Michelet, Jules",Allegro con disperazione,,Mondadori,1956,BTB Segn. 522-523 ,Intonsi.
1712,"Michelet, Jules",. Boscovivo,Livorno,Treves,1931,BTB Segn. 524 ,Nota di possesso autografa in data 29.06.1921. Intonso.
1713,"Migliorini, Bruno",. Forte come un leone,Livorno,Mondadori,1946,BTB Segn. 2039 ,nan
1714,"Migliorini, Bruno",. Ho visto il tuo cuore,"Roma, Avanzini e Torraca",Mondadori,1956,BAL ,nan
1715,"Milani, Milena",. Rive remote. Racconti,Paris,Mondadori,1960,BTB Segn. 1229 ,nan
1716,Milano. A cura del Comune di,. Tempo innamorato,Milano,Mondadori,1945,BTB Segn. 525 ,nan
1717,"Milano 1881. Milano, Ottino,",. Un filo di brezza,Milano,Panorama,1939,BAL ,nan
1718,"Milano en 1906. Milano, Tip.",. Venti racconti. Con un saggio di G. De Robertis,Roma,Mondadori,1942,BTB Segn. 2273 ,nan
1719,"Milano nel 1906. Milano, Tip.",The Betrothed,Torino,Burns & Oates,1928,BTB Segn. 2307 ,nan
1720,Milano presente e avvenire., Il cinque maggio. Ventisette traduzioni in varie lingue del Cinque Maggio di Alessandro Manzoni raccolte da C.A. Meschia. Col testo dell’ode,"Paris, Colin",Stabilimento Feliciano Campitelli,1964,BTB Segn. 1280 ,nan
1721,"Milano, Paolo", Inni sacri e altre poesie,"Roma, Anonima Romana Editoriale",Garroni,1965,BTB Segn. 1281 ,nan
1722,Il Milione: enciclopedia di, Le opere II: Gli sposi promessi,Venezia,Dante Alighieri,1865,BTB Segn. 1282 ,Intonso.
1723,"Miller, Henry", Opere varie I. Ghisalberti. Prefazione di M. Barbi. Avvertenza di G. Gentile,Milano,Casa del Manzoni,1952,BTB Segn. 1279 ,nan
1724,"Millhouse, John",,"Milano, Sonzogno",.,1949,BAL  ,nan
1725,"Milton, John", Opere varie II. Ghisalberti,Paris,Casa del Manzoni,1716,BTB Segn. 922 ,nan
1726,"Miolati, Arturo",,"Firenze, La Nuova Italia",,1941,BTB Segn. 1283 ,nan
1727,"Mirskij, Dmitrij Petrovič", Postille al vocabolario della Crusca nell’edizione veronese. A cura di D. Isella,Paris,Ricciardi,1959,BTB Segn. 1042 ,nan
1728,Miscellanea di studi in onore, I Promessi Sposi,"Paris, Fayard",Burns and  Oates,1953,BTB Segn. 1430 ,nan
1729,"Mitford, Nancy", I Promessi Sposi,"Paris, Wapler",Hoepli,1948,BTB Segn. 1755-1756 ,Sottolineature.
1730,"Modorati, Luigi",  I promessi sposi. Storia della colonna infame,Storia degli Stati Uniti (,Mondadori,1900,BAL ,nan
1731,"Modorati, Luigi", I promessi sposi. Storia milanese del secolo XVII scoperta e rifatta da Alessandro Manzoni. Introduzione di A. Moravia. Disegni di R. Guttuso,"Torino, Einaudi",Einaudi,1945,BTB Segn. 834-836 ,Note di possesso autografe. Parzialmente intonsi.
1732,"Modorati, Luigi",Id,"Firenze, Le Monnier",Id. La rivoluzione francese del,1944,BAL ,nan
1733,"Momigliano, Arnaldo", Scritti sulla lingua italiana,MilanoRoma,Barbera,1951,BTB Segn. 1757 ,nan
1734,"Momigliano, Attilio"," Storia della Colonna infame, e alcune lettere; con le Osservazioni sulla tortura di Pietro Verri",Bologna,Barbera,1944,BTB Segn. 837 ,nan
1735,"Momigliano, Attilio",  Storia della colonna infame,Milano,* Id. Storia della colonna infame.,1960,BTB Segn. Op. 135-36  ,Due copie.
1736,"Mommsen, Theodor", Tragedie,Milano,Id. Tragedie. In appendice le correzioni del,1944,BTB Segn. Op. 137-39  ,Tre copie.
1737,"Monaco, Domenico", Tragedie e poesie,"Milano, Sperling & Kupfer",Trevisini,1942,BTB Segn. 1662-1671 ,"All’ultimo tomo, postille su segnalibri inseriti."
1738,"Monchablon, E. J.",Id,"MilanoRoma, Treves",Id.,1920,BTB Segn. 1672-1681 ,"Intonsi i volumi I, II, III, IV, V, VII e X."
1739,"Mondini, Maria","s.l., s.e",Firenze,s.d.,1941,BAL ,nan
1740,Ead.," Die Verlobten. Leipzig, Reclam, s.d., 2 volumi",Milano,2 volumi.,1912,BAL ,nan
1741,"Monelli, Paolo",Crudeltà all’aria aperta,Ferrara,Feltrinelli,1854,BAL ,Dedica autografa dell’autrice in data 9.6.1964. Disegni.
1742,"Monelli, Paolo","Proust, arte e conoscenza",Torino,Novissima Editrice,1947,BTB Segn. 2377 ,nan
1743,"Monelli, Paolo","Amiel, o della timidezza. Traduzione di M.F. Canella","Torino, Frassinelli",Einaudi,1936,BTB Segn. 1535 ,nan
1744,"Mongrédien, Georges",Alain Fournier. Ed altri saggi,Torino,La Lampada,1921,BTB Segn. 2384 ,nan
1745,"Mongrédien, Georges",Divagazioni,"Milano, Bompiani",Neri Pozza,1950,BTB Segn. 2385 ,nan
1746,"Montaigne, Michel Eyquem", Storia della letteratura latina,"Milano, Feltrinelli",Principato,1951,BTB Segn. Op. 105 ,nan
1747,"Montaigne, Michel Eyquem",Un nuovo documento su Vittorino da Feltre,"Madrid, EspasaCalpe",VIII,1937,BTB Segn. Op. 69 ,nan
1748,"Montaigne, Michel Eyquem",Leonardo Da Vinci – artista scienziato,"Torino, Einaudi",Hoepli,1949,BTB Segn. 838 ,Dedica dell’autore in data 1962.
1749,"Montale, Eugenio", Meccanica razionale,"Paris, NelsonCalmannLévy",Hoepli,1922,BAL ,nan
1750,"Montale, Eugenio",settimo centenario della nascita,"(ma: Torino), ERI",settimo centenario della nascita,1955,BAL ,Dedica dell’autore in data 5.1962.
1751,"Montale, Eugenio",Ricordi dell’imperatore Marc’Aurelio Antonino,"Firenze, San soni",Barbera,1949,BAL ,Postille.
1752,"Montale, Eugenio",Le compagnon,"Milano, All’insegna del  pesce d’oro",Flammarion,1939,BTB Segn. Op. 41-42 ,Due copie.
1753,"Montale, Eugenio",La giovane narrativa italiana tra documento e poesia,Livorno,Le Monnier,1953,BTB Segn. 1401 ,nan
1754,"Montale, Eugenio","Bartolomeo Pinelli. Roma, Istituto Nazionale L.U.C.E","Milano, Longanesi",Istituto Nazionale L.U.C.E.,1939,BTB Segn. 1230-1231 ,nan
1755,"Montale, Eugenio"," Il Caravaggio. Roma, Istituto Nazionale L.U.C.E",Torino,Istituto Nazionale L.U.C.E.,1954,BTB Segn. 526 ,nan
1756,"Montale, Eugenio",". s.l., s.e","Milano, Mondadori",s.d.,1935,BTB Segn. 1682 ,nan
1757,"Montale, Eugenio",I delfini di Scipio Slataper,Torino,All’insegna del Pesce d’Oro,1950,BTB Segn. 2386 ,nan
1758,"Montale, Eugenio","La terra. Trattato popolare di geografia universale. MilanoNapoliBolognaFirenzeRomaTorino, Vallardi, s.d., 7 volumi in 13 tomi",,7 volumi in 13 tomi.,1951,BTB Segn. 2387 ,nan
1759,"Montale, Eugenio",Il meccanico frigorista. Manuale teoricopratico,Torino,Hoepli,1931,BAL ,nan
1760,"Montalenti, Giuseppe",La strage degli innocenti,,Gar roni,1924,BTB Segn. 1043-1047 ,nan
1761,"Montalenti, Giuseppe",Antologia kantiana,"Paris, Flammarion",s.d. (ma:,1837,BTB Segn. 1470 ,Pieghe.
1762,"Montalenti, Giuseppe", Antologia platonica,"Paris, CalmannLévy",Paravia,1963,BTB Segn. 839 ,nan
1763,"Montalenti, Giuseppe", Il compito della filosofia nell’ora presente,Paris,Bertieri e Vanzetti,1961,BTB Segn. 840 ,nan
1764,"Montalenti, Giuseppe",Id,"Firenze,              Sansoni",Id. Discorso ufficiale pronunciato al 3° convegno tenuto in Castellamonte il 19 settembre,1952,BTB Segn. 1471-1478 ,"Volumi II e IV, intonsi; volume III parzial mente intonso."
1765,"Montalenti, Giuseppe", Gesù Cristo e il cristianesimo,"Milano,                 Longanesi",Edizioni della «Rivista di Filosofia»,1963,BTB Segn. 2292 ,nan
1766,"Monteverdi, Angelo", Introduzione alla metafisica,"Milano, Ripalta",Libreria Editrice Lombarda,1954,BAL ,Nota di possesso di Adele Gadda Lehr.
1767,"Montgomery, Florence", La libertà,Milano,Libreria Editrice Lombarda,1915,BTB Segn. Op. 27 ,nan
1768,"Monti, Vincenzo", Ragione e fede,"MilanoRomaNapoli,Vallardi",Edizioni della Rivista di Filosofia,1929,BTB Segn. Op. 44  ,Parzialmente intonso.
1769,"Monti, Vincenzo", Ragione e fede,"Milano, Feltrinelli",Einaudi,1959,BTB Segn. 1536 ,nan
1770,"Mor, Nando",Lettere,"Novara, Istituto geografico De Agostini",Edizioni di TrevisoLibreria edi trice Canova,1941,BAL ,nan
1771,"Morand, Paul",Nell’Africa italiana,Milano,Treves,1902,BTB Segn. 1537 ,nan
1772,"Morandi, Carlo",I giorni sono lunghi. Prefazione di C.        Levi,"Milano, Millhouse",Avanti,1850,BTB Segn. 1683 ,nan
1773,"Morandi, Carlo", La pioggia: bassorilievi e disegni di Quinto Martini. Presentati da C. Levi,"Milano, Sonzogno",Badiali,1937,BTB Segn. 1684 ,nan
1774,"Moravia, Alberto","MartiniZuccagni, Aroldo  Algebra complementare. Livorno, Giusti («Biblioteca degli studenti»: 9394)",Redazione ampliata di una conferenza tenuta il 17 febbraio,Giusti («Biblioteca degli studenti»: 9394).,1883,BTB Segn. 2270 ,Parzialmente intonso.
1775,"Moravia, Alberto",  pratica per la risoluzione degli esercizi di trigonometria,"Milano, Garzanti",Giusti,1958,BAL ,nan
1776,"Moravia, Alberto",  pratica per la risoluzione delle equazioni di 1 e 2 grado,"Roma, Edizioni dell’Ateneo",Giusti,1915,BAL ,nan
1777,"Moravia, Alberto","Il capitale. Critica dell’economia politica. Libro primo, parte prima. Traduzione di R. Meyer","MilanoRoma, Rizzoli",Avanzini e Torraca,1970,BTB Segn. 841 ,nan
1778,"More, Thomas",Epigrammes. Izaac,Monzese,Les Belles Lettres,1953,BTB Segn. 527 ,nan
1779,"Morelli, Ettore",Invito a Lesbia Cidonia ed altre poesie,Monzese,Sonzogno,1950,BTB Segn. 528 ,nan
1780,"Morgan, Thomas Hunt",Nell’Ottocento. Idee e figure del XIX secolo,e,Garzanti,1916,BTB Segn. 529 ,Dedica dell’autore in data 10.1942.
1781,"Morgana, Adalberto","Masuccio Salernitano (Masuccio Guardati, detto)  Novelle",Paris,Formìggini,1925,BAL ,nan
1782,"Morin, Arthur",Carovita e lotte sociali sotto il Terrore. Serini,Firenze,Einaudi,1940,BTB Segn. 2080 ,nan
1783,"Mornet, Daniel", La révolution française,Roma,Colin,1934,BTB Segn. 1049 ,Nota di possesso autografa di Adele Gadda           Lehr. Sottolineature.
